LN46_0.75_1_0.5mL_s_0.5mL_Ti_0h,,LN46_0.75_1_0.5mL_s_0.5mL_Ti_0h_r,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_0h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_0h_r,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_0h,,LN46_0.75_4_0.5mL_s_0.5mL_Ti_0h,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
712.9941406,0.00756974984,712.9941406,0.001069422462,712.9941406,0.002546684584,712.9941406,-0.001383727998,712.9941406,0.00644170912,712.9941406,-0.003722966183,
711.9932861,0.007890439592,711.9932861,0.001637081616,711.9932861,0.002690751804,711.9932861,-0.000804256706,711.9932861,0.006900358479,711.9932861,-0.002785747405,
710.9921265,0.008024925366,710.9921265,0.001520378399,710.9921265,0.002416565083,710.9921265,-0.0007359871524,710.9921265,0.006813943852,710.9921265,-0.002833996201,
709.9904785,0.00779157225,709.9904785,0.00116542133,709.9904785,0.002337621991,709.9904785,-0.001004920457,709.9904785,0.007069477811,709.9904785,-0.003132063663,
708.9885864,0.007238399703,708.9885864,0.001634405344,708.9885864,0.002012604848,708.9885864,-0.0009571395349,708.9885864,0.006613829639,708.9885864,-0.003247749526,
707.9863892,0.007013518363,707.9863892,0.001203655498,707.9863892,0.00185061642,707.9863892,-0.001058170688,707.9863892,0.006521401461,707.9863892,-0.003611257533,
706.9838257,0.006828616839,706.9838257,0.00147396035,706.9838257,0.001727826311,706.9838257,-0.0007475125603,706.9838257,0.007082738448,706.9838257,-0.003456738312,
706.0167236,0.006721078418,706.0167236,0.001565112616,706.0167236,0.001851942274,706.0167236,-0.000769580598,706.0167236,0.006840608083,706.0167236,-0.003429053584,
705.0135498,0.006622608285,705.0135498,0.001877653645,705.0135498,0.001681308146,705.0135498,-0.0006100659957,705.0135498,0.006804713979,705.0135498,-0.003538755002,
704.0099487,0.006049108226,704.0099487,0.001650177641,704.0099487,0.002145985141,704.0099487,-0.000795523345,704.0099487,0.007070319727,704.0099487,-0.003061845666,
703.0061035,0.00601863442,703.0061035,0.001448792405,703.0061035,0.002158784308,703.0061035,-0.0007254951051,703.0061035,0.006965404842,703.0061035,-0.002905999543,
702.0018311,0.005645297002,702.0018311,0.001592521789,702.0018311,0.002065738896,702.0018311,-0.0003512340772,702.0018311,0.007525051013,702.0018311,-0.003015627386,
700.9973755,0.005459508859,700.9973755,0.00142967701,700.9973755,0.001708984491,700.9973755,-0.000834434526,700.9973755,0.006709116977,700.9973755,-0.002979739103,
699.9924927,0.005095949862,699.9924927,0.00164830673,699.9924927,0.001549992827,699.9924927,-0.0007676684181,699.9924927,0.006811971311,699.9924927,-0.003197902115,
698.9872437,0.005110276863,698.9872437,0.00191722461,698.9872437,0.001571893343,698.9872437,-0.0008040500106,698.9872437,0.007269117516,698.9872437,-0.003347787075,
698.0175781,0.005136758089,698.0175781,0.001770632574,698.0175781,0.001977393869,698.0175781,-0.0005519521073,698.0175781,0.007094210479,698.0175781,-0.003209670773,
697.0117798,0.004586483352,697.0117798,0.001252770424,697.0117798,0.001142529189,697.0117798,-0.001126751187,697.0117798,0.007136549335,697.0117798,-0.003453399753,
696.0056152,0.004608275834,696.0056152,0.001428430434,696.0056152,0.001592391869,696.0056152,-0.001009724103,696.0056152,0.00640319474,696.0056152,-0.002988120075,
694.9990845,0.004665182438,694.9990845,0.0016584408,694.9990845,0.001886727056,694.9990845,-0.0008178473217,694.9990845,0.006686929613,694.9990845,-0.003208951093,
693.9921875,0.0047289785,693.9921875,0.001890704851,693.9921875,0.002244694158,693.9921875,-0.0004079265345,693.9921875,0.007249744143,693.9921875,-0.002790839877,
692.9850464,0.004465611186,692.9850464,0.0008987842011,692.9850464,0.001597847906,692.9850464,-0.001452360186,692.9850464,0.00620841654,692.9850464,-0.003819558537,
692.0135498,0.003896491602,692.0135498,0.001262194244,692.0135498,0.002315240446,692.0135498,-0.0007858079043,692.0135498,0.006757675204,692.0135498,-0.003529100679,
691.0057373,0.004896206781,691.0057373,0.001552616712,691.0057373,0.002610639203,691.0057373,-0.0004354942066,691.0057373,0.007198682986,691.0057373,-0.003205919173,
689.9975586,0.005101162009,689.9975586,0.001545706415,689.9975586,0.002437624149,689.9975586,-0.001166252303,689.9975586,0.006261226255,689.9975586,-0.003578550648,
688.9891357,0.004525193013,688.9891357,0.001710673794,688.9891357,0.002796567045,688.9891357,-0.000745186815,688.9891357,0.006777368486,688.9891357,-0.003278580261,
688.0162964,0.004415791947,688.0162964,0.001630611718,688.0162964,0.002950177761,688.0162964,-0.0009012936498,688.0162964,0.006970244925,688.0162964,-0.003114535939,
687.0072021,0.004600035027,687.0072021,0.001548771863,687.0072021,0.00341211888,687.0072021,-0.0005921259872,687.0072021,0.006557508372,687.0072021,-0.003185310867,
685.9978027,0.00461429311,685.9978027,0.001645968179,685.9978027,0.003010464367,685.9978027,-0.0006665696274,685.9978027,0.006656437181,685.9978027,-0.003731794888,
684.9880371,0.004728533793,684.9880371,0.00116209907,684.9880371,0.003002357902,684.9880371,-0.001074645435,684.9880371,0.00693470845,684.9880371,-0.003131806618,
684.0139771,0.0039908709,684.0139771,0.00128091278,684.0139771,0.002755587222,684.0139771,-0.0009150878759,684.0139771,0.00634390628,684.0139771,-0.003457200713,
683.0036621,0.004443642683,683.0036621,0.001672784681,683.0036621,0.002722009085,683.0036621,-0.001180141349,683.0036621,0.006325572729,683.0036621,-0.003385751043,
681.9929199,0.004347884096,681.9929199,0.00176647387,681.9929199,0.002497110516,681.9929199,-0.0008766489336,681.9929199,0.006643136498,681.9929199,-0.00329219643,
