LN46_0.75_1_0.5mL_s_0.5mL_Ti_2h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_2h,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_2h,,LN46_0.75_4_0.5mL_s_0.5mL_Ti_2h,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
697.0117798,0.01748484373,697.0117798,-0.000514825515,697.0117798,0.001032263972,697.0117798,-0.0006442378508,
696.0056152,0.01727573946,696.0056152,-0.0003560966579,696.0056152,0.0008791483706,696.0056152,-0.0009349260363,
694.9990845,0.01766455173,694.9990845,-0.0001034797751,694.9990845,0.001567788539,694.9990845,-0.0003428537166,
693.9921875,0.01731751859,693.9921875,-0.0002604900219,693.9921875,0.001232936862,693.9921875,-0.0007675650995,
692.9850464,0.0170562081,692.9850464,-0.0001426082745,692.9850464,0.001516793622,692.9850464,-0.0008247199585,
692.0135498,0.01738479175,692.0135498,-9.804497677E-005,692.0135498,0.001355976681,692.0135498,-0.0006335885264,
691.0057373,0.01751001365,691.0057373,-0.0001279613789,691.0057373,0.001775311073,691.0057373,-0.0006790273474,
689.9975586,0.01795560867,689.9975586,0.0001944471442,689.9975586,0.001782952808,689.9975586,-0.0002311002027,
688.9891357,0.01781218685,688.9891357,0.0006183639634,688.9891357,0.001671849284,688.9891357,-0.0004292360391,
688.0162964,0.01748301089,688.0162964,-0.0001522863313,688.0162964,0.001093270956,688.0162964,-0.0006188547704,
687.0072021,0.01802235842,687.0072021,-0.0001308079809,687.0072021,0.00175672723,687.0072021,-0.0007977971109,
685.9978027,0.01727673598,685.9978027,-0.0003320417891,685.9978027,0.0009509777883,685.9978027,-0.000777074194,
684.9880371,0.01753160357,684.9880371,0.0001738072751,684.9880371,0.001316976151,684.9880371,-0.0004119092191,
684.0139771,0.01775428653,684.0139771,0.0002600765147,684.0139771,0.001360079506,684.0139771,-0.0007972803432,
683.0036621,0.01773133874,683.0036621,8.361972868E-005,683.0036621,0.001468012459,683.0036621,-0.0006775799557,
681.9929199,0.01717180386,681.9929199,-7.599455421E-005,681.9929199,0.001471960451,681.9929199,-0.0006774765789,
681.0179443,0.0172289256,681.0179443,-8.801140211E-006,681.0179443,0.0009584493819,681.0179443,-0.000882694032,
680.0065918,0.0174380336,680.0065918,-0.000119783741,680.0065918,0.001131784287,680.0065918,-0.0009087849758,
678.9949951,0.01772699691,678.9949951,0.000115725692,678.9949951,0.001302228542,678.9949951,-0.000834434526,
677.9829712,0.01719862595,677.9829712,0.0002450798347,677.9829712,0.00150333799,677.9829712,-0.0005320447963,
677.0068359,0.01763416827,677.0068359,-0.0001115024352,677.0068359,0.001596704824,677.0068359,-0.000370684138,
675.9942017,0.01755486242,675.9942017,9.480476001E-005,675.9942017,0.001692456426,675.9942017,-0.0006359665422,
675.0174561,0.0178726837,675.0174561,-0.000279478525,675.0174561,0.001565606217,675.0174561,-0.0003142454952,
674.0042725,0.01794983447,674.0042725,0.0002330880234,674.0042725,0.001815002644,674.0042725,-0.000132981746,
672.9906006,0.01808979362,672.9906006,0.0003961064795,672.9906006,0.001719561755,672.9906006,-0.0003146593517,
672.0130005,0.01747163758,672.0130005,4.289516801E-005,672.0130005,0.001297632931,672.0130005,-0.0003960299946,
670.9987793,0.01769685186,670.9987793,0.0002738563344,670.9987793,0.001440013759,670.9987793,-0.0002237524313,
669.984314,0.01738883369,669.984314,0.0002476958034,669.984314,0.001439546235,669.984314,-0.0004958473146,
669.0056763,0.0179215353,669.0056763,0.0002647129004,669.0056763,0.001599666663,669.0056763,-5.006057836E-005,
667.9906006,0.01766382344,667.9906006,0.0002191023232,667.9906006,0.001427729148,667.9906006,-0.0005845775013,
667.0114136,0.01729704626,667.0114136,0.0003626843973,667.0114136,0.001623128541,667.0114136,-0.0005695835571,
665.9956665,0.01759432442,665.9956665,0.0002583152382,665.9956665,0.001599770621,665.9956665,-0.0004557679931,
665.0159302,0.01790491864,665.0159302,3.523223131E-005,665.0159302,0.001408484997,665.0159302,-0.0006102210609,
663.9995728,0.01783198304,663.9995728,7.010486297E-005,663.9995728,0.001737208455,663.9995728,-0.0002981557627,
662.9829102,0.01766689681,662.9829102,-0.000446613878,662.9829102,0.001739807427,662.9829102,-0.0002477098315,
662.0021362,0.01754494384,662.0021362,-0.0001958608336,662.0021362,0.001450818265,662.0021362,-0.0004436658928,
660.9849243,0.01709791459,660.9849243,-4.576397987E-005,660.9849243,0.001455051824,660.9849243,-0.0007503034431,
660.0036621,0.01796877384,660.0036621,0.0002315081365,660.0036621,0.001855165814,660.0036621,-0.0001903236989,
658.9857788,0.01865913346,658.9857788,9.874030366E-005,658.9857788,0.001947230194,658.9857788,-0.0001634650107,
658.0039063,0.01838939823,658.0039063,0.0002279598848,658.0039063,0.001885375124,658.0039063,-0.0001155913487,
656.9853516,0.01855594665,656.9853516,0.0004275100364,656.9853516,0.001990240067,656.9853516,-9.064320329E-005,
656.0029297,0.01845451258,656.0029297,0.0006208007107,656.0029297,0.00180333131,656.0029297,0.0002115657699,
654.9838257,0.0183857251,654.9838257,0.0005862467224,654.9838257,0.001938935602,654.9838257,-0.0003156940511,
654.0007935,0.01812657714,654.0007935,0.0002203713811,654.0007935,0.001807074412,654.0007935,-7.402755728E-005,
653.0174561,0.01805544086,653.0174561,0.0005196350394,653.0174561,0.00226527662,653.0174561,0.0003898104769,
651.9974365,0.01821497642,651.9974365,0.0008047373849,651.9974365,0.00248862314,651.9974365,0.0001575705828,
651.0135498,0.01854503155,651.0135498,0.0005110566271,651.0135498,0.001789684873,651.0135498,0.0001286723273,
649.992981,0.01845915988,649.992981,0.0004145803978,649.992981,0.001941275666,649.992981,-5.45641924E-005,
649.0084229,0.01880251057,649.0084229,0.0007305206964,649.0084229,0.002210349077,649.0084229,0.0002117211552,
647.9871826,0.0191456452,647.9871826,0.0001578036463,647.9871826,0.002045139903,647.9871826,0.0001392370614,
647.0021362,0.01842156239,647.0021362,0.0004394294519,647.0021362,0.001861821045,647.0021362,0.0002395630436,
646.0167847,0.01873328909,646.0167847,0.0005906014703,646.0167847,0.002190992003,646.0167847,7.310813089E-005,
644.9946899,0.01844519563,644.9946899,0.0005874650087,644.9946899,0.002381035127,644.9946899,-0.0001172993652,
644.008728,0.01898403652,644.008728,0.0006981618353,644.008728,0.002308214083,644.008728,-2.479804971E-005,
642.9860229,0.01897762716,642.9860229,0.0005745306262,642.9860229,0.002327862429,642.9860229,0.0002472036867,
641.9995117,0.01900905184,641.9995117,0.0006934689591,641.9995117,0.002206212142,641.9995117,0.0001470571879,
641.0126953,0.01876847818,641.0126953,0.0009290308226,641.0126953,0.002694450552,641.0126953,0.0002210188541,
639.9891357,0.01896905527,639.9891357,0.0007808269584,639.9891357,0.002667700872,639.9891357,0.000454666093,
639.00177,0.0188605506,639.00177,0.0007123185205,639.00177,0.002634650562,639.00177,0.0004531372106,
638.0141602,0.0192709174,638.0141602,0.001000271761,638.0141602,0.002574936952,638.0141602,0.0004584235139,
636.989624,0.01879461668,636.989624,0.001344551332,636.989624,0.002947910223,636.989624,0.001018460025,
636.0014038,0.01899877377,636.0014038,0.001032134169,636.0014038,0.002776636742,636.0014038,0.0008021958638,
635.0129395,0.01934620552,635.0129395,0.001001491211,635.0129395,0.003054335713,635.0129395,0.0006220450159,
633.9875488,0.01935687102,633.9875488,0.001314639347,633.9875488,0.0031342695,633.9875488,0.001203707419,
632.9985352,0.01918768696,632.9985352,0.001637367415,632.9985352,0.003140944289,632.9985352,0.001088651712,
632.0092163,0.0194294136,632.0092163,0.00140612165,632.0092163,0.003200162202,632.0092163,0.001260091434,
630.9829102,0.02012082562,630.9829102,0.001555916038,630.9829102,0.003519936698,630.9829102,0.001436819206,
629.993042,0.01957263798,629.993042,0.001372258295,629.993042,0.003310509725,629.993042,0.001143593225,
629.0028687,0.01923603751,629.0028687,0.001608708291,629.0028687,0.003418276319,629.0028687,0.001365091186,
628.0123901,0.01996270008,628.0123901,0.001672135084,628.0123901,0.00361817563,628.0123901,0.001399681205,
626.9849854,0.0202495791,626.9849854,0.001548693981,626.9849854,0.00365866255,626.9849854,0.00141586049,
625.9939575,0.0201199837,625.9939575,0.00143642968,625.9939575,0.003393412801,625.9939575,0.001438689185,
625.0026855,0.01970339753,625.0026855,0.001575582428,625.0026855,0.003884032834,625.0026855,0.001396954409,
624.0111084,0.02069329657,624.0111084,0.001678709523,624.0111084,0.003760875436,624.0111084,0.001753790188,
622.9824829,0.02014425211,622.9824829,0.001900142641,622.9824829,0.003871339606,622.9824829,0.001856075716,
621.9904175,0.0205759462,621.9904175,0.002156391041,621.9904175,0.004017989151,621.9904175,0.001965276198,
620.9980469,0.02059787698,620.9980469,0.001906980528,620.9980469,0.004019086715,620.9980469,0.001907552476,
620.0054321,0.02055683918,620.0054321,0.002026648493,620.0054321,0.00431514997,620.0054321,0.001932331128,
619.0124512,0.02096370608,619.0124512,0.002171323868,619.0124512,0.004187217914,619.0124512,0.00215493422,
617.9824829,0.02114420757,617.9824829,0.002287785755,617.9824829,0.004495087545,617.9824829,0.00224995031,
616.9890137,0.02053634822,616.9890137,0.00230584573,616.9890137,0.004503744654,616.9890137,0.002235691296,
615.9951782,0.0214838963,615.9951782,0.002270455007,615.9951782,0.004608590156,615.9951782,0.002351519885,
