LN46_0.75_1_0.5mL_s_0.5mL_Ti_1h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_1h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_1h_r,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_1h,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_1h_r,,LN46_0.75_4_0.5mL_s_0.5mL_Ti_1h,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
684.9880371,0.007513225544,684.9880371,0.02277164906,684.9880371,-0.001068912912,684.9880371,0.01306493487,684.9880371,0.02067008428,684.9880371,-0.001138162916,
684.0139771,0.007638399955,684.0139771,0.02304600365,684.0139771,-0.001072837971,684.0139771,0.01264914032,684.0139771,0.0198730249,684.0139771,-0.001084199524,
683.0036621,0.007623699494,683.0036621,0.02328311279,683.0036621,-0.000502983632,683.0036621,0.01254127081,683.0036621,0.01987340301,683.0036621,-0.0006778384559,
681.9929199,0.007491339464,681.9929199,0.02320678346,681.9929199,-0.000876080594,681.9929199,0.01292397268,681.9929199,0.01952335611,681.9929199,-0.001090861391,
681.0179443,0.007802588399,681.0179443,0.0231270548,681.0179443,-0.0005301832571,681.0179443,0.0126631055,681.0179443,0.01966038346,681.0179443,-0.000848902564,
680.0065918,0.007683611009,680.0065918,0.02380491421,680.0065918,-0.0007582107792,680.0065918,0.01277876366,680.0065918,0.01994803734,680.0065918,-0.001074025757,
678.9949951,0.007323740516,678.9949951,0.02262739278,678.9949951,-0.000671015121,678.9949951,0.01237032749,678.9949951,0.01972200722,678.9949951,-0.001266408945,
677.9829712,0.007919305004,677.9829712,0.02301092818,677.9829712,-0.0009466011543,677.9829712,0.01256642397,677.9829712,0.02032596059,677.9829712,-0.0009290883318,
677.0068359,0.007628310006,677.0068359,0.02332083322,677.0068359,-0.001161656925,677.0068359,0.01288221311,677.0068359,0.01990632899,677.0068359,-0.001136613893,
675.9942017,0.007432850078,675.9942017,0.02315607853,675.9942017,-0.001080842689,675.9942017,0.01206489094,675.9942017,0.01945621334,675.9942017,-0.001334543573,
675.0174561,0.007567273453,675.0174561,0.02378394268,675.0174561,-0.001241784892,675.0174561,0.01226710621,675.0174561,0.01977735199,675.0174561,-0.001264602179,
674.0042725,0.00769625837,674.0042725,0.02345198579,674.0042725,-0.0007005819352,674.0042725,0.01229147147,674.0042725,0.01982330158,674.0042725,-0.0009439665591,
672.9906006,0.007501900196,672.9906006,0.02342941985,672.9906006,-0.00102175877,672.9906006,0.01178323384,672.9906006,0.01975185983,672.9906006,-0.001251128735,
672.0130005,0.007166259456,672.0130005,0.02315394767,672.0130005,-0.001286385814,672.0130005,0.01161500812,672.0130005,0.01942194067,672.0130005,-0.001151691424,
670.9987793,0.007718918845,670.9987793,0.02287008427,670.9987793,-0.000898245431,670.9987793,0.01219431311,670.9987793,0.01996392012,670.9987793,-0.001022740151,
669.984314,0.007650888059,669.984314,0.02355478518,669.984314,-0.001155512407,669.984314,0.01242378447,669.984314,0.01946560666,669.984314,-0.00106726028,
669.0056763,0.00724661164,669.0056763,0.02341966517,669.0056763,-0.001401996589,669.0056763,0.01223331783,669.0056763,0.01986308023,669.0056763,-0.001092978753,
667.9906006,0.007593062241,667.9906006,0.02333951555,667.9906006,-0.001239565085,667.9906006,0.01208011433,667.9906006,0.01991871372,667.9906006,-0.001020880765,
667.0114136,0.007067451719,667.0114136,0.02338863164,667.0114136,-0.001185872359,667.0114136,0.01257337816,667.0114136,0.01977751404,667.0114136,-0.0008281304035,
665.9956665,0.007368128747,665.9956665,0.02363470197,665.9956665,-0.0009304315317,665.9956665,0.01272462308,665.9956665,0.02025188506,665.9956665,-0.000711229688,
665.0159302,0.007470981684,665.0159302,0.023055695,665.0159302,-0.001202600426,665.0159302,0.01178057399,665.0159302,0.01989811845,665.0159302,-0.0009608071996,
663.9995728,0.007212526631,663.9995728,0.02355136909,663.9995728,-0.001065401128,663.9995728,0.01244935766,663.9995728,0.0198921822,663.9995728,-0.0008556197281,
662.9829102,0.007682873402,662.9829102,0.02345638536,662.9829102,-0.0009546599467,662.9829102,0.01226084866,662.9829102,0.01963611692,662.9829102,-0.001153963385,
662.0021362,0.007622382604,662.0021362,0.02344474569,662.0021362,-0.0008523128345,662.0021362,0.01261835918,662.0021362,0.02027805708,662.0021362,-0.0006919499137,
660.9849243,0.006708170287,660.9849243,0.02331842855,660.9849243,-0.001275029499,660.9849243,0.01273027342,660.9849243,0.01994229294,660.9849243,-0.001086678356,
660.0036621,0.007615611888,660.0036621,0.02289393358,660.0036621,-0.000985085615,660.0036621,0.01269610226,660.0036621,0.01950372756,660.0036621,-0.001007451443,
658.9857788,0.007475722115,658.9857788,0.02309399471,658.9857788,-0.001049339189,658.9857788,0.01291127875,658.9857788,0.01994619519,658.9857788,-0.001070307335,
658.0039063,0.008074422367,658.0039063,0.023282649,658.0039063,-0.0005968824844,658.0039063,0.01350401249,658.0039063,0.0201978609,658.0039063,-0.0007176388172,
656.9853516,0.007773783058,656.9853516,0.02355355583,656.9853516,-0.0005861802492,656.9853516,0.01362424809,656.9853516,0.01992288791,656.9853516,-0.0007517505437,
656.0029297,0.008454394527,656.0029297,0.02406947128,656.0029297,-0.0001778002043,656.0029297,0.01352516282,656.0029297,0.02027461305,656.0029297,-0.0004300635483,
654.9838257,0.007861047983,654.9838257,0.02321601473,654.9838257,-0.001021138974,654.9838257,0.01300110295,654.9838257,0.02008858882,654.9838257,-0.0009028952336,
654.0007935,0.007998161949,654.0007935,0.02364426851,654.0007935,-0.0003327660379,654.0007935,0.01322868001,654.0007935,0.02065289952,654.0007935,-0.0003930299717,
653.0174561,0.007844020613,653.0174561,0.02346329764,653.0174561,-0.0007911307621,653.0174561,0.01357165817,653.0174561,0.02015726641,653.0174561,-0.0004535441112,
651.9974365,0.007982236333,651.9974365,0.02440031059,651.9974365,-0.0003334385401,651.9974365,0.01381212007,651.9974365,0.02041092701,651.9974365,-0.0004918653867,
651.0135498,0.007957400754,651.0135498,0.02415818535,651.0135498,-0.0008050834876,651.0135498,0.01403367892,651.0135498,0.02068235539,651.0135498,-0.0005926429876,
649.992981,0.00821928028,649.992981,0.02435488626,649.992981,-0.0003399050329,649.992981,0.01467332989,649.992981,0.0210490711,649.992981,-7.387227379E-005,
649.0084229,0.008163145743,649.0084229,0.02409844659,649.0084229,-0.0003486992791,649.0084229,0.01398483478,649.0084229,0.02074431255,649.0084229,-0.0004896934261,
647.9871826,0.008305923082,647.9871826,0.02396066859,647.9871826,-0.0003443539026,647.9871826,0.0141393533,647.9871826,0.02117046155,647.9871826,-0.0001166265138,
647.0021362,0.008139143698,647.0021362,0.02473214269,647.0021362,-2.971607501E-005,647.0021362,0.01490604505,647.0021362,0.0210868679,647.0021362,-0.0005286320229,
646.0167847,0.007996658795,646.0167847,0.0242526643,646.0167847,-0.0004714898532,646.0167847,0.01425599307,646.0167847,0.02053279243,646.0167847,-0.0004450622946,
644.9946899,0.007709564641,644.9946899,0.02344261482,644.9946899,-0.0009082683246,644.9946899,0.01419950183,644.9946899,0.02027450502,644.9946899,-0.0007152095786,
644.008728,0.008326767944,644.008728,0.02420301363,644.008728,-0.0003567691601,644.008728,0.01479407772,644.008728,0.02080541104,644.008728,-0.0003699082299,
642.9860229,0.007936546579,642.9860229,0.02455093712,642.9860229,-0.0005217546714,642.9860229,0.01452774927,642.9860229,0.02051344328,642.9860229,-0.0005192725803,
641.9995117,0.008562758565,641.9995117,0.02470931597,641.9995117,-3.618707706E-005,641.9995117,0.01527737733,641.9995117,0.02091994323,641.9995117,-0.0002365333203,
641.0126953,0.007848027162,641.0126953,0.02426509187,641.0126953,-0.0006189064588,641.0126953,0.01492688805,641.0126953,0.02041583881,641.0126953,-0.00051860034,
