LN46_0.75_1_0.5mL_s_0.5mL_Ti_0h_r,Unnamed: 3
Wavelength (nm),Abs
360.9926147,2.637619495
359.9837952,2.912787199
359.0136108,3.181360483
358.0045471,3.408416748
356.9953003,3.892348528
355.9859009,3.925172329
355.0152283,3.515584946
354.0055542,3.909123182
352.995697,3.86614275
351.9857788,3.558638573
351.0144958,3.605960131
350.0042419,3.442215681
348.993866,10
347.9833374,10
347.0115356,10
346.0007629,3.865993261
344.9898071,4.434159279
344.0175781,10
343.0063782,3.672376871
341.9950256,3.895412445
340.9835205,3.623570204
340.0107727,3.783490181
338.9990234,4.229362488
337.9871216,4.019720554
337.0139771,3.650814056
336.0018005,4.033512592
334.9894714,3.743010521
334.0159607,3.872947216
333.0033875,10
331.9906616,10
331.0167542,3.995542765
330.0037842,4.891593456
328.9906311,3.722222805
328.0163574,3.651060104
327.0029602,10
325.9894714,3.535788536
325.014801,5.139020443
324.0010376,4.063769817
322.9871216,4.124821186
322.0121155,10
320.9979248,3.964037657
319.9836121,3.841213465
319.0082092,3.918929577
317.9936523,4.168162823
317.0180054,10
316.0032043,5.218244553
314.9882507,3.920241833
314.0122375,3.968696356
312.9970093,3.86917305
311.98172,3.742782116
311.0053406,4.281770229
309.9897461,3.710349321
309.0131226,4.069895744
307.997345,3.806069374
306.9813843,3.586898804
306.004364,3.792551756
304.9881897,3.91643405
304.0110168,3.92812109
302.9945679,3.588183165
302.0171204,3.735741138
301.0004883,10
299.9836426,3.949108601
299.0058594,4.294960499
297.9888306,3.845980883
297.0107727,3.631536484
295.9935303,3.946885109
295.0152588,3.983331203
293.9977722,4.43031311
293.0192566,10
292.0015259,4.192133904
290.9836426,4.228315353
290.0048523,3.798438549
288.9867554,4.098626137
288.0076904,10
286.9893799,3.936115026
286.0101013,3.915194035
284.9915771,3.83546257
284.012085,3.901490211
282.9932861,4.72246933
282.0135803,10
280.9945679,3.603090525
280.0146484,3.873892784
278.9954224,3.806068182
278.0153198,10
276.9958496,3.736936331
276.0154724,3.733647346
274.9958191,3.761389256
274.0152588,3.785490513
272.9953613,3.986588001
272.0145569,4.019460678
270.9944763,3.637064219
270.0134888,3.680226088
268.9931641,3.859810352
268.0119629,3.918600559
266.9914551,3.718779564
266.0100403,3.745133877
264.9892883,3.915727139
264.0076599,3.745589733
262.9866943,10
262.0048828,4.368957996
260.9837341,3.800872564
260.001709,3.773665905
259.0196533,4.061165333
257.9981384,4.567848682
257.0158386,3.755964518
255.9941406,3.840428829
255.011673,3.938141823
253.9897461,10
253.0070496,4.028010368
251.9849548,4.035570621
251.0020752,4.417039871
250.0190887,3.989049673
248.9966736,4.040779114
248.0135193,3.734205008
246.9909363,3.703281403
246.0075531,3.901417494
244.9847412,3.946524382
244.0011902,3.986187458
243.0175476,3.959866285
241.9944458,3.721943617
241.0106201,3.889536619
239.9873657,3.98986721
239.0033417,3.833802223
238.0192261,4.072445393
236.9956665,10
236.0113678,3.788620949
234.9876099,3.794239759
234.0031586,3.913408995
233.0186005,10
231.9945526,3.998874903
231.0098114,3.988905191
229.9855957,3.614128351
229.0006714,3.821424961
228.0157013,3.611937046
226.9911957,3.565841675
226.0059967,3.705551863
224.9813385,3.583088636
223.9959869,3.611890316
223.0105438,3.524242878
221.9855957,3.684837103
221,3.800237179
220.0142975,4.293478966
218.9891205,3.723663092
218.0032501,3.444713354
217.0173187,4.274366379
215.9918518,3.421681404
215.0057373,3.676529646
214.0195618,3.477237225
212.9938354,3.582731247
212.0074921,3.424499989
210.9815826,3.430127144
209.9950714,3.421799183
209.0084534,3.453787327
207.9823303,3.711854219
206.995575,3.677358627
206.0087585,3.335527897
204.9823456,3.558172941
